"Estado","tipo delito","suma delitos","pob por cada 1000"
"Campeche","Corrupción de menores",20,0.02154
"Campeche","Daño a la propiedad",1057,1.13856
"Campeche","Delitos cometidos por servidores públicos",33,0.03555
"Campeche","Despojo",66,0.07109
"Campeche","Electorales",9,0.00969
"Campeche","Evasión de presos",2,0.00215
"Campeche","Extorsión",55,0.05924
"Campeche","Falsedad",29,0.03124
"Campeche","Falsificación",129,0.13895
"Campeche","Feminicidio",6,0.00646
"Campeche","Fraude",400,0.43087
"Campeche","Homicidio",197,0.2122
"Campeche","Hostigamiento sexual",12,0.01293
"Campeche","Incesto",0,0
"Campeche","Incumplimiento de obligaciones de asistencia familiar",193,0.20789
"Campeche","Lesiones",2504,2.69722
"Campeche","Narcomenudeo",350,0.37701
"Campeche","Otros delitos contra el patrimonio",372,0.40071
"Campeche","Otros delitos contra la familia",1,0.00108
"Campeche","Otros delitos contra la sociedad",3,0.00323
"Campeche","Otros delitos del Fuero Común",739,0.79602
"Campeche","Otros delitos que atentan contra la libertad personal",191,0.20574
"Campeche","Otros delitos que atentan contra la libertad y la seguridad sexual",18,0.01939
"Campeche","Otros delitos que atentan contra la vida y la integridad corporal",179,0.19281
"Campeche","Rapto",0,0
"Campeche","Robo",2868,3.08931
"Campeche","Secuestro",0,0
"Campeche","Tráfico de menores",0,0
"Campeche","Trata de personas",1,0.00108
"Campeche","Violación equiparada",181,0.19497
"Campeche","Violación simple",93,0.10018
"Campeche","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Campeche","Violencia familiar",1186,1.27752
"Chiapas","Aborto",6,0.00108
"Chiapas","Abuso de confianza",189,0.03409
"Chiapas","Abuso sexual",142,0.02561
"Chiapas","Acoso sexual",110,0.01984
"Chiapas","Allanamiento de morada",126,0.02273
"Chiapas","Amenazas",2098,0.37844
"Chiapas","Contra el medio ambiente",41,0.0074
"Chiapas","Corrupción de menores",3,0.00054
"Chiapas","Daño a la propiedad",1400,0.25253
"Chiapas","Delitos cometidos por servidores públicos",92,0.0166
"Chiapas","Despojo",134,0.02417
"Chiapas","Electorales",13,0.00234
"Chiapas","Evasión de presos",1,0.00018
"Chiapas","Extorsión",22,0.00397
"Chiapas","Falsedad",11,0.00198
"Chiapas","Falsificación",58,0.01046
"Chiapas","Feminicidio",32,0.00577
"Chiapas","Fraude",248,0.04473
"Chiapas","Homicidio",1426,0.25722
"Chiapas","Hostigamiento sexual",21,0.00379
"Chiapas","Incesto",0,0
"Chiapas","Incumplimiento de obligaciones de asistencia familiar",282,0.05087
"Chiapas","Lesiones",1574,0.28392
"Chiapas","Narcomenudeo",255,0.046
"Chiapas","Otros delitos contra el patrimonio",40,0.00722
"Chiapas","Otros delitos contra la familia",0,0
"Chiapas","Otros delitos contra la sociedad",116,0.02092
"Chiapas","Otros delitos del Fuero Común",885,0.15964
"Chiapas","Otros delitos que atentan contra la libertad personal",313,0.05646
"Chiapas","Otros delitos que atentan contra la libertad y la seguridad sexual",481,0.08676
"Chiapas","Otros delitos que atentan contra la vida y la integridad corporal",109,0.01966
"Chiapas","Rapto",0,0
"Chiapas","Robo",2380,0.42931
"Chiapas","Secuestro",21,0.00379
"Chiapas","Tráfico de menores",0,0
"Chiapas","Trata de personas",3,0.00054
"Chiapas","Violación equiparada",7,0.00126
"Chiapas","Violación simple",220,0.03968
"Chiapas","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Chiapas","Violencia familiar",845,0.15242
"Chihuahua","Aborto",7,0.00187
"Chihuahua","Abuso de confianza",1342,0.35864
"Chihuahua","Abuso sexual",1908,0.50991
"Chihuahua","Acoso sexual",364,0.09728
"Chihuahua","Allanamiento de morada",338,0.09033
"Chihuahua","Amenazas",3864,1.03264
"Chihuahua","Contra el medio ambiente",51,0.01363
"Chihuahua","Corrupción de menores",157,0.04196
"Chihuahua","Daño a la propiedad",9816,2.62329
"Chihuahua","Delitos cometidos por servidores públicos",709,0.18948
"Chihuahua","Despojo",1019,0.27232
"Chihuahua","Electorales",58,0.0155
"Chihuahua","Evasión de presos",2,0.00053
"Chihuahua","Extorsión",6,0.0016
"Chihuahua","Falsedad",237,0.06334
"Chihuahua","Falsificación",1039,0.27767
"Chihuahua","Feminicidio",47,0.01256
"Chihuahua","Fraude",5993,1.60161
"Chihuahua","Homicidio",1990,0.53182
"Chihuahua","Hostigamiento sexual",88,0.02352
"Chihuahua","Incesto",1,0.00027
"Chihuahua","Incumplimiento de obligaciones de asistencia familiar",2594,0.69324
"Chihuahua","Lesiones",6754,1.80498
"Chihuahua","Narcomenudeo",5061,1.35253
"Chihuahua","Otros delitos contra el patrimonio",1130,0.30199
"Chihuahua","Otros delitos contra la familia",65,0.01737
"Chihuahua","Otros delitos contra la sociedad",98,0.02619
"Chihuahua","Otros delitos del Fuero Común",2202,0.58848
"Chihuahua","Otros delitos que atentan contra la libertad personal",851,0.22743
"Chihuahua","Otros delitos que atentan contra la libertad y la seguridad sexual",480,0.12828
"Chihuahua","Otros delitos que atentan contra la vida y la integridad corporal",411,0.10984
"Chihuahua","Rapto",0,0
"Chihuahua","Robo",14249,3.80799
"Chihuahua","Secuestro",51,0.01363
"Chihuahua","Tráfico de menores",0,0
"Chihuahua","Trata de personas",40,0.01069
"Chihuahua","Violación equiparada",300,0.08017
"Chihuahua","Violación simple",1212,0.3239
"Chihuahua","Violencia de género en todas sus modalidades distinta a la violencia familiar",1,0.00027
"Chihuahua","Violencia familiar",14235,3.80425
"Ciudad de México","Aborto",187,0.0203
"Ciudad de México","Abuso de confianza",3734,0.40543
"Ciudad de México","Abuso sexual",4285,0.46526
"Ciudad de México","Acoso sexual",1528,0.16591
"Ciudad de México","Allanamiento de morada",804,0.0873
"Ciudad de México","Amenazas",20133,2.18601
"Ciudad de México","Contra el medio ambiente",892,0.09685
"Ciudad de México","Corrupción de menores",384,0.04169
"Ciudad de México","Daño a la propiedad",10812,1.17395
"Ciudad de México","Delitos cometidos por servidores públicos",4278,0.4645
"Ciudad de México","Despojo",3643,0.39555
"Ciudad de México","Electorales",1072,0.1164
"Ciudad de México","Evasión de presos",13,0.00141
"Ciudad de México","Extorsión",461,0.05005
"Ciudad de México","Falsedad",724,0.07861
"Ciudad de México","Falsificación",2612,0.28361
"Ciudad de México","Feminicidio",65,0.00706
